doc_id,name,authority,applies_gov,applies_private,summary
2425,"One Big Beautiful Bill Act 2025, Section 43201 (""Artificial intelligence and information technology modernization initiative"")",United States Congress,True,False,"Appropriates $500 million to the Department of Commerce for FY 2025 to modernize federal IT systems using AI and automation technologies.

Authorizes the Secretary of Commerce to use funds to replace legacy systems, adopt efficient AI models, and enhance cybersecurity with AI solutions.

Enacts a 10-year moratorium preventing state and local governments from regulating AI models or systems.

Exempts laws facilitating AI deployment or removing legal barriers, provided they do not impose additional requirements unless federally mandated or generally applicable."
2052,California Executive Order N-12-23 (State use of GenAI),California,True,False,"Orders California's Government Operations Agency and related entities to draft a report for the Governor within 60 days on beneficial uses and risks of Generative AI (GenAI) by the state.

Requires the California Cybersecurity Integration Center and related bodies to perform a risk analysis by March 2024 on GenAI threats to energy infrastructure, brief the Governor on findings, and make public recommendations for actions to guard against GenAI threats when appropriate. 

Directs various California departments to issue procurement and training guidelines for GenAI by January 2024.

Instructs relevant agencies to develop guidelines by July 2024 for using GenAI tools with vulnerable communities.

Mandates establishment of GenAI pilot project infrastructure by March 2024.

Urges the Governor's Office to partner with UC Berkeley and Stanford to evaluate GenAI's impact.

Tasks legal counsel to assess GenAI's regulatory impact and recommend updates.

Emphasizes collaboration with civil society, academia, and industry experts in drafting guidelines and conducting analyses."
1554,California SB 1288 (Public schools: artificial intelligence working group) (2024),California,True,False,"Requires the Superintendent of Public Instruction to form a working group to address artificial intelligence in public schools.

Requires the working group to develop guidance and a model policy for safe AI use in education by January 1, 2026.

Instructs the working group to create a model policy by July 1, 2026, for the safe and beneficial use of AI that does not negatively impact students or educators.

Mandates that the working group consist of certain stakeholders, including public school teachers and schoolsite administrators.

Calls the working group to assess AI use in education, including technologies in use, costs, and impacts on educators, and to detail current uses of artificial intelligence in educational settings.

Requires the working group to conduct at least three public meetings for stakeholder feedback.

Requires the working group to identify other ways in which the state can promote effective practices that minimize risk and maximize benefits to pupils and educators, including establishing communities of practice on the use of artificial intelligence in education.

Obliges the group to report findings and recommendations to the Legislature by January 1, 2027.

Dissolves the working group upon report submission and repeals provisions by January 1, 2031."
1562,California AB 96 (Public Employment: Automated Vehicle Tech),California,True,False,"Require public transit employers in California to notify the exclusive employee representative at least 10 months before starting a procurement process for autonomous transit vehicle technology that could eliminate jobs.

Mandate collective bargaining within 30 days upon notification or within 10 days of the public transit employer receiving a written request from the exclusive employee representative, focusing on developing and implementing the autonomous transit technology, creating transition plans for affected workers, and preparing them for new roles.

Ensure that this chapter does not impose any labor requirements that are less protective than existing statutory or contractual obligations.

Grant the Public Employment Relations Board jurisdiction to handle unfair practice charges related to this chapter.

Authorize the board to establish, amend, or repeal regulations necessary to implement the chapter, including emergency regulations for the immediate preservation of public welfare."
385,"California SJR 6 (""Artificial Intelligence"")",California,False,False,"Urges the President and Congress to develop a comprehensive Artificial Intelligence Advisory Committee.

Urges the adoption of a comprehensive artificial intelligence policy.

Highlights the importance of federal government planning for workforce changes due to AI.

Emphasizes the need for ethical standards in AI development and employment.

Encourages promoting innovation to help American companies grow.

Notes that California has attracted significant global AI investment.

Calls for bridging the gap between technological change and regulatory response.

Directs transmission of the resolution to key federal officials and California representatives."
1543,California AB 1831 (Child Pornography Crimes),California,False,True,"Prohibits the creation, distribution, and possession of child sexual assault material (CSAM) generated by artificial intelligence (AI) in California.

Defines AI as a machine-based system capable of generating outputs that influence environments.

Amends California's Penal Code to include AI-generated CSAM as obscene matter, subject to legal penalties.

Classifies the distribution or possession of AI-generated CSAM depicting minors under 18 engaging in sexual conduct as a felony, punishable by imprisonment and fines.

Omits the necessity to prove commercial intent or obscenity for violations involving depictions of real minors.

Specifies enhanced penalties for repeat offenders and those using government-owned computers for CSAM-related offenses.

Exempts law enforcement, medical, scientific, educational activities, and lawful conduct between spouses from these provisions.

Requires revenue from fines to support sexual assault investigator training and services for human trafficking victims.

Becomes operative only if Senate Bill 1381 is enacted by January 1, 2025."
1555,California SB 1381 (Crimes: child pornography) (2024),California,False,True,"Expands existing child pornography laws to include materials digitally altered or generated by artificial intelligence.

Prohibits the production, distribution, or possession of AI-generated depictions involving minors engaging in sexual conduct.

Imposes penalties including fines and imprisonment for violations involving AI-generated content depicting minors, including recruiting minors to create such content.

Specifies exemptions for legally emancipated minors; law enforcement; legitimate medical, educational, or scientific activities; and lawful conduct between spouses.

Allows forfeiture of AI-generated depictions involving minors engaging in sexual conduct that is in the possession of city, county, or state officials or agencies.

Allows destruction of AI-generated materials regardless of criminal conviction.

Mandates that the act becomes operative only if AB 1831 is enacted by January 1, 2025."
1549,California AB 2839 (Election Advertisements) ,California,False,True,"Prohibits the distribution of materially deceptive AI-generated content related to elections, such as deepfakes, during specified periods before and after elections in California. 

Requires disclosures for manipulated content used by candidates, stating ""This [media type] has been manipulated,"" ensuring transparency.

Allows recipients of deceptive content, candidates, or election officials to seek injunctive relief and damages against violators.

Exempts broadcasting stations from liability under certain conditions, such as bona fide news coverage or compliance with existing federal laws.

Defines key terms like ""deepfake,"" ""materially deceptive content,"" and ""malice"" to establish clear guidelines.

Applies provisions to all languages and mandates that disclosures match the language of the advertisement.

Includes an urgency clause, making the act effective immediately to protect upcoming elections from AI-driven disinformation."
2151,California 2023 SCR 17 (Relative to AI),California,True,False,"Affirms the California Legislature's commitment to President Biden’s vision for safe AI and the ""Blueprint for an AI Bill of Rights.""

Commits the Legislature to examining and implementing principles, including Safe and Effective Systems, Algorithmic Discrimination Protections, Data Privacy, Notice and Explanation, and Human Alternatives in AI-related policies.

Directs the Secretary of the Senate to transmit copies of this resolution for distribution."
1551,California (2024) AB 2885 (Artificial Intelligence),California,True,False,"Requires, by September 1, 2024, the California Department of Technology to inventory high-risk automated decision systems used or proposed by state agencies, detailing decision-making roles, data usage, and risk mitigation measures.

Mandates an annual report on high-risk systems to legislative committees until 2029.

Defines ""artificial intelligence"" as systems that infer inputs to influence environments, and outlines ""high-risk automated decision systems"" that impact significant areas like housing and employment.

Obliges the evaluation of deepfake technologies' impact on state governance and residents, with a report due by October 1, 2024.

Stipulates annual public reporting on automation impacts, including AI, within economic development subsidies for warehouse distribution centers, focusing on job effects and workforce changes. 

Ensures public access to information about economic subsidies and associated impacts from AI and automation developments."
1734,"California AB 2355 (AI in political advertisements), Sec 8",California,False,True,"Requires committees creating or distributing qualified political advertisements to include a disclosure stating, “Ad generated or substantially altered using artificial intelligence,” in a clear and conspicuous manner.

Mandates that the disclosure be displayed or spoken as specified in existing sections of the Government Code.

Excludes alteration or negation of rights under Section 230 of Title 47 of the U.S. Code for interactive service providers.

Authorizes the Commission to seek injunctive relief or pursue administrative or civil remedies if committees fail to comply with disclosure requirements.

Defines ""artificial intelligence"" and specifies conditions under which media is considered ""generated or substantially altered using artificial intelligence.”

Clarifies that immaterial alterations, such as cosmetic adjustments or resizing, do not qualify as being substantially altered by artificial intelligence.

Specifies that non-compliance does not constitute a misdemeanor."
1544,California AB 1836 (Use of likeness: digital replica),California,False,True,"Amends the California Civil Code to impose liability on individuals using a deceased personality's likeness without consent, including AI-generated digital replicas. Requires violators to compensate for unauthorized use, with statutory minimums and profit disgorgement. Excludes certain uses such as news, satire, and fleeting references from consent requirements. 

Recognizes posthumous rights as transferable property interests, extending rights to heirs or designated persons. Limits rights duration to 70 years post-death and outlines specific inheritance rules. Mandates registration with the Secretary of State for enforcing claims, making these registrations public records.

Clarifies that certain artistic and informational works are exempt unless they serve commercial product promotion. Outlines exceptions for media owners unless knowingly complicit in unauthorized use. Enforces consistency with existing law by rendering remedies cumulative. Establishes retroactive application of rights back to those deceased before January 1, 1985."
1719,"California AB 107 (Budget Act 2024), Sec. 2.00, Item 0511-001-0001 (For support of Secretary of Government Operations)",California,True,False,"Establishes monthly Generative AI meetings with legislative staff to discuss Executive Order N-12-23 implementation.

Requires updates on deliverable completion, proof of concept implementation, and funding source identification.

Supports budget requests for generative AI technology solutions if additional resources are needed.

Defines ""artificial intelligence"" and ""generative artificial intelligence"" within the provisions.

Treats data collected in GenAI pilot projects as personal information per Civil Code Section 1798.3.

Prohibits GenAI pilot projects from including sensitive personal information, data on minors, educational records, or medical information.

Mandates compliance with California's GenAI Guidelines for departments in GenAI pilot projects.

Permits the use of de-identified data for research to justify resource requests if expanding pilot program scope."
1558,California AI Transparency Act (2024),California,False,True,"Enacts the California AI Transparency Act, requiring covered providers of generative AI systems with significant user bases to offer free AI detection tools.

Mandates that AI detection tools assess whether content was created or altered by the provider's AI, output system provenance data, and avoid personal provenance data.

Prohibits the collection or retention of personal information from detection tool users, barring specific opt-in scenarios.

Requires AI-generated content to include both manifest and latent disclosures identifying it as AI-generated, with details about the provider and system.

Demands that licenses for GenAI systems include obligations for content disclosures.

Imposes civil penalties of $5,000 per violation for non-compliance, with each day constituting a separate violation.

Excludes specific entertainment products from applicability and sets the operative date as January 1, 2026."
1553,California SB 1120 (Health care coverage: utilization review) (2024),California,False,True,"Mandates health care service plans and disability insurers using AI for utilization review or management to comply with specific regulations.

Requires AI tools to base decisions on individual clinical data and prohibits reliance solely on group datasets.

Prohibits AI tools from denying, delaying, or modifying health care services based on medical necessity; such determinations must be made by licensed professionals.

Ensures AI tools do not replace human decision-making or discriminate against enrollees.

Requires AI tools' criteria to comply with state and federal laws and be open for audits.

Mandates regular review and revision of AI tools for accuracy and reliability.

Prohibits misuse of patient data beyond intended purposes, in line with privacy laws.

Stipulates that AI use should not harm enrollees and requires disclosure of AI usage policies."
1550,California AB 2876 (Pupil instruction: media literacy: artificial intelligence literacy: curriculum frameworks: instructional materials) (2024),California,True,False,"Mandates the commission to consider incorporating AI literacy content into the mathematics, science, and history-social science curriculum frameworks when those frameworks are next revised after January 1, 2025.

Requires the commission to consider including AI literacy in the criteria for evaluating mathematics, science, and history-social science instructional materials adopted by the state board after January 1, 2025.

Defines ""AI literacy"" as the knowledge, skills, and attitudes related to how artificial intelligence works, including its principles, concepts, applications, limitations, implications, and ethical considerations.

Directs the commission to also consider including media literacy content in the curriculum frameworks and instructional materials for English language arts and English language development, mathematics, science, and history-social science when these are revised or adopted after specified dates."
1998,Take It Down Act,United States Congress,False,False,"Amends the Communications Act of 1934 to criminalize the publication of nonconsensual intimate visual depictions, including digital forgeries created using AI, in interstate or foreign commerce.

Defines digital forgeries as depictions created with AI or other technological means that are indistinguishable from authentic depictions.

Prohibits the publication of such depictions for both adults and minors, with specific intent requirements such as causing harm or for sexual gratification.

Imposes penalties, including fines and imprisonment, for offenses involving adults and harsher penalties for those involving minors.

Mandates covered platforms, such as websites with user-generated content, to establish a process for the removal of nonconsensual depictions within 48 hours of receiving a request.

Enforces compliance through the Federal Trade Commission, treating violations as unfair or deceptive acts.

Provides exceptions for certain authorized law enforcement and good faith activities and outlines processes for restitution and forfeiture related to violations."
1988,TAKE IT DOWN Act (2025),United States Congress,False,False,"The TAKE IT DOWN Act mandates covered platforms to remove nonconsensual intimate visual depictions, including those created by artificial intelligence (AI), known as digital forgeries. 

Prohibits intentional disclosure of such depictions without consent, especially targeting AI-altered, identifiable images. 

Imposes penalties, including fines and imprisonment, for offenses involving adults and minors. 

Requires covered platforms to establish a removal process within one year of the Act’s enactment, responding promptly (within 48 hours) upon receiving a valid removal request.

Mandates reasonable efforts to remove identical copies across platforms. 

Exempts platforms from liability for good faith removal of purportedly nonconsensual depictions. 

Empowers the Federal Trade Commission to enforce compliance, treating noncompliance as an unfair or deceptive act. 

Specifies legal exceptions, including disclosures for lawful or investigative purposes. 

Defines covered platforms as public websites or applications hosting user-generated content. "
1545,California AB 2013 (AI Training Data),California,False,False,"Defines key terms such as ""artificial intelligence,"" ""developer,"" ""generative artificial intelligence,"" and ""synthetic data generation"" to clarify the scope and applicability of the regulations.

Mandates developers of generative AI systems, including parties that release a new system or make substantial modifications to a system, released on or after January 1, 2022 to publicly disclose training data documentation on their websites by January 1, 2026, and for each subsequent release.

Requires documentation to include a summary of datasets, sources, purposes, data points, intellectual property status, personal information, any data processing or modifications, and the use of synthetic data generation.

Exempts AI systems solely for security, aircraft operation in national airspace, or national security and defense provided they are only available to federal entities.
"
1560,California Assembly Bill 2905 (Telecommunications: automatic dialing-announcing devices: artificial voices) (2024),California,False,False,"Amends the Public Utilities Code to regulate the use of automatic dialing-announcing devices in California.

Requires person calling to make a natural voice announcement before using an automatic dialing-announcing device, which includes stating the nature of the call and the business or organization details; inquiring whether the called person consents to hear a prerecorded message; and informing the called person if the message uses an artificial voice.

Requires person calling to disconnect the device after call termination by either party.

Defines the terms “artificial intelligence” and “artificial voice."""
1552,California AB 3030 (AI Health Care Services),California,False,True,"Requires health facilities, clinics, and physician offices using generative AI for patient communications in a variety of modalities to include a disclaimer indicating AI generation.

Mandates the disclaimer's prominence at the beginning, end, and/or throughout written, audio, and video communications, with instructions for contacting a human provider.

Exempts communications reviewed by a licensed health care provider from disclaimer requirements.

Defines key terms, including ""artificial intelligence,"" ""generative artificial intelligence,"" and ""patient clinical information.""

Subjects licensed health facilities, clinics, and physicians violating these requirements to enforcement mechanisms."
1757,"FY2025 NDAA, Section 222 (""Modification to artificial intelligence education strategy"")",United States Congress,True,False,"Amends Section 256 of the National Defense Authorization Act for Fiscal Year 2020 to mandate the development of AI and machine learning education platforms.

Requires the Chief Digital and Artificial Intelligence Officer of the Department of Defense, in coordination with the Under Secretary of Defense for Personnel and Readiness, to create distance education courses on foundational AI and machine learning concepts and their ethical and responsible use.

Mandates making these courses available to Armed Forces members within 180 days of the enactment of the National Defense Authorization Act for Fiscal Year 2025.

Requires the Secretary of Defense to report to congressional defense committees on the progress of implementing this educational initiative within 270 days of the subsection's enactment."
1747,"FY2025 NDAA, Section 1066 (""Reports on approval and deployment of lethal autonomous weapon systems"")",United States Congress,True,False,"Mandates the Secretary of Defense to submit annual reports to congressional defense committees on lethal autonomous weapon systems by December 31, 2025, and annually until December 31, 2029.

Requires inclusion of a comprehensive list of lethal autonomous weapon systems approved for use, waived from review, under review, and not approved, along with relevant dates.

Specifies that the initial report should cover all relevant periods as determined by the Secretary, while subsequent reports cover periods since the last report.

Allows for reports to be unclassified but permits a classified annex."
2387,H.R.2246 Foreign Investment Guardrails to Help Thwart (FIGHT) China Act,United States Congress,False,False,"Imposes sanctions on certain Chinese entities and individuals engaged in defense or surveillance sectors through the International Emergency Economic Powers Act.

Requires notification for U.S. investments in prohibited technologies and establishes penalties for violations, reflecting stringent oversight on national security transactions involving China.

Mandates divestment of securities by U.S. persons from entities on the Non-SDN Chinese Military-Industrial Complex Companies List, prohibiting holding after a specified period.

Outlines procedures for approving exceptions to these prohibitions through waivers, subject to congressional notification and review.

Establishes a framework for using collaborative reports and a public database for covered foreign persons while protecting sensitive information.

Outlines regulations and processes to enforce prohibitions, commands an annual report to assess developments, and encourage multilateral cooperation to prevent China’s acquisition of sensitive technologies. 

Designates Commerce and Treasury authorities to oversee implementation and allows Presidential delegation of some powers."
2297,S257 Promoting Resilient Supply Chains Act of 2025,United States Congress,False,False,"Requires the Assistant Secretary of Commerce to promote the resilience of critical supply chains and emerging technologies vital for U.S. national security, in consultation with key government figures.

Mandates the creation of a Supply Chain Resilience Working Group within 120 days, comprising multiple federal agencies, to evaluate and model critical supply chains, including those for emerging technologies such as AI.

Directs the Assistant Secretary to identify vulnerabilities, develop response strategies, and assess domestic and allied manufacturing capacities within one year.

Prohibits disclosure of voluntarily submitted critical supply chain information under FOIA, providing protection against unauthorized use.

Necessitates annual reporting to Congress detailing strategies and evaluations of supply chain resiliency, including the role of technologies such as AI.

Limits the Act’s funding to existing resources and imposes a 10-year termination period for the Act’s provisions."
2396,H2444 Promoting Resilient Supply Chains Act of 2025,United States Congress,False,False,"Assigns the Assistant Secretary of Commerce new responsibilities to promote the resilience of critical supply chains and emerging technologies, including artificial intelligence. 

Establishes a Supply Chain Resilience Working Group to assess and address vulnerabilities in critical supply chains and technologies.

Mandates consultations with various stakeholders, including government entities and international allies, to improve supply chain readiness and response to disruptions.

Encourages domestic production and reduced reliance on countries posing national security risks for critical goods and technologies, including AI.

Protects voluntarily submitted critical supply chain information from public disclosure under the Freedom of Information Act.

Requires periodic assessments and strategy reports to Congress on supply chain resiliency and emerging technology impacts.

Sets a 10-year term for the act's provisions and requires a public comment period for certain designations and reports."
2402,Next Generation Pipelines Research and Development Act,United States Congress,False,False,"Establishes a demonstration initiative to fund advanced pipeline technologies via competitive merit reviews, focusing on AI-driven advancements in leak detection, sensor technologies, and machine learning for pipeline monitoring.

Directs funding of $45 million in 2026 and $50 million annually from 2027-2030 for relevant projects, with a sunset provision five years post-enactment.

Forms a Joint Research and Development Program involving the Department of Energy and other federal agencies to advance AI and machine learning models for pipeline systems, ensuring security and integrity.

Creates a National Pipeline Modernization Center to commercialize AI-assisted pipeline technologies, requiring competitive selection and location adjacent to existing infrastructure.

Mandates the National Institute of Standards and Technology to develop standards supporting AI in pipeline safety, with a $2.5 million annual allocation from 2026-2030.

Aims to leverage and complement existing energy and pipeline safety infrastructure and programs through collaborative interagency efforts and non-federal funding matching."
2401,Promoting US Leadership in Standards Act of 2025,United States Congress,False,False,"Mandates the Director of the National Institute of Standards and Technology (NIST), in coordination with the Secretary of State, to brief Congress about opportunities for U.S. support in developing AI standards within one year.

Requires the establishment of a web portal to inform U.S. industry and federal agencies about international AI standards efforts and participation opportunities.

Initiates a pilot program to support AI standards meetings in the U.S. by awarding grants to eligible entities.

Specifies eligibility criteria for these grants and defines allowable costs.

Requires annual briefings to Congress on the pilot program's effectiveness.

Directs the development of recommendations for a permanent program if deemed feasible within two years.

Authorizes a budget of $5 million for the program from fiscal years 2024 through 2028. 

Ends the pilot program five years post-enactment, with consideration for permanent implementation."
