name,category,doc_id,id
"One Big Beautiful Bill Act 2025, Section 43201 (""Artificial intelligence and information technology modernization initiative"")",LEGAL_SOURCE,1,0
Department of Commerce,ACTOR,907,1
federal,ACTOR,915,2
AI,TECHNOLOGY,947,3
automation technologies,TECHNOLOGY,809,4
AI models,TECHNOLOGY,947,5
cybersecurity,RISK,922,6
state and local governments,ACTOR,702,7
laws,LEGAL_SOURCE,938,8
AI deployment,LIFECYCLE_STAGE,914,9
federally mandated,REQUIREMENT,1,10
California Executive Order N-12-23,LEGAL_SOURCE,2,11
California's Government Operations Agency,ACTOR,2,12
report,LEGAL_SOURCE,935,13
Governor,ACTOR,914,14
GenAI,TECHNOLOGY,934,15
California Cybersecurity Integration Center,ACTOR,2,16
energy infrastructure,DOMAIN,2,17
public,ACTOR,945,18
California,GEOGRAPHIC,470,19
training guidelines,LEGAL_SOURCE,2,20
guidelines,LEGAL_SOURCE,923,21
pilot project infrastructure,REQUIREMENT,2,22
UC Berkeley,ACTOR,2,23
Stanford,ACTOR,2,24
civil society,ACTOR,803,25
academia,ACTOR,913,26
industry experts,ACTOR,181,27
California Senate Bill 1288 (2024),LEGAL_SOURCE,3,28
Superintendent of Public Instruction,ACTOR,3,29
working group,REQUIREMENT,902,30
public schools,DOMAIN,3,31
model policy,LEGAL_SOURCE,3,32
AI use,LEGAL_SOURCE,938,33
education,DOMAIN,938,34
students,ACTOR,924,35
educators,ACTOR,938,36
stakeholders,ACTOR,945,37
public school teachers,ACTOR,3,38
schoolsite administrators,ACTOR,3,39
technologies,TECHNOLOGY,941,40
educational,DOMAIN,829,41
public meetings,REQUIREMENT,514,42
communities of practice,REQUIREMENT,3,43
Legislature,ACTOR,399,44
California (2023-2024) AB 96,LEGAL_SOURCE,4,45
public transit employers,EMPLOYMENT,4,46
exclusive employee representative,ACTOR,4,47
autonomous transit vehicle technology,TECHNOLOGY,4,48
collective bargaining,LEGAL_SOURCE,650,49
the public,ACTOR,943,50
autonomous,TECHNOLOGY,867,51
technology,DOMAIN,938,52
workers,EMPLOYMENT,900,53
labor,EMPLOYMENT,849,54
Public Employment Relations Board,ACTOR,4,55
jurisdiction,GEOGRAPHIC,891,56
unfair practice charges,ACCOUNTABILITY,4,57
board,ACTOR,925,58
regulations,LEGAL_SOURCE,946,59
emergency regulations,LEGAL_SOURCE,4,60
California SJR 6,LEGAL_SOURCE,5,61
President,ACTOR,846,62
Congress,ACTOR,827,63
Artificial Intelligence Advisory Committee,REQUIREMENT,5,64
artificial intelligence policy,LEGAL_SOURCE,5,65
federal government,ACTOR,860,66
workforce,DOMAIN,938,67
ethical standards,REQUIREMENT,879,68
AI development,LIFECYCLE_STAGE,946,69
employment,EMPLOYMENT,930,70
regulatory response,LEGAL_SOURCE,5,71
California Assembly Bill 1831 (2024),LEGAL_SOURCE,6,72
