id,name,category,doc_id
0,Department of Commerce,ACTOR,2425
1,Department of Commerce,ACTOR,2425
2,AI,TECHNOLOGY,2425
3,automation technologies,TECHNOLOGY,2425
4,cybersecurity,RISK,2425
5,state and local governments,ACTOR,2425
6,federally mandated,REQUIREMENT,2425
7,California's Government Operations Agency,ACTOR,2052
8,Governor,ACTOR,2052
9,GenAI,TECHNOLOGY,2052
10,GenAI,TECHNOLOGY,2052
11,California Cybersecurity Integration Center,ACTOR,2052
12,energy infrastructure,DOMAIN,2052
13,UC Berkeley,ACTOR,2052
14,Stanford,ACTOR,2052
15,civil society,ACTOR,2052
16,academia,ACTOR,2052
17,industry experts,ACTOR,2052
18,pilot project infrastructure,REQUIREMENT,2052
19,training guidelines,LEGAL_SOURCE,2052
20,Superintendent of Public Instruction,ACTOR,1554
21,AI,TECHNOLOGY,1554
22,public schools,DOMAIN,1554
23,model policy,LEGAL_SOURCE,1554
24,education,DOMAIN,1554
25,stakeholders,ACTOR,1554
26,public school teachers,ACTOR,1554
27,schoolsite administrators,ACTOR,1554
28,Legislature,ACTOR,1554
29,communities of practice,REQUIREMENT,1554
30,public transit employers,OTHER,1562
31,California,OTHER,1562
32,autonomous transit vehicle technology,TECHNOLOGY,1562
33,exclusive employee representative,ACTOR,1562
34,collective bargaining,LEGAL_SOURCE,1562
35,Public Employment Relations Board,ACTOR,1562
36,unfair practice charges,OTHER,1562
37,emergency regulations,LEGAL_SOURCE,1562
38,President,ACTOR,385
39,Congress,ACTOR,385
40,Artificial Intelligence Advisory Committee,REQUIREMENT,385
41,artificial intelligence policy,LEGAL_SOURCE,385
42,federal government,ACTOR,385
43,employment,OTHER,385
44,ethical standards,REQUIREMENT,385
45,AI development,TECHNOLOGY,385
46,California,OTHER,385
47,regulatory response,LEGAL_SOURCE,385
48,CSAM,RISK,1543
49,CSAM,RISK,1543
50,AI,TECHNOLOGY,1543
51,California,OTHER,1543
52,Penal Code,LEGAL_SOURCE,1543
53,CSAM,TECHNOLOGY,1543
54,felony,OTHER,1543
55,fines,OTHER,1543
56,law enforcement agencies,DOMAIN,1543
57,medical,DOMAIN,1543
58,educational,DOMAIN,1543
59,scientific,LIFECYCLE_STAGE,1543
60,Senate Bill 1381,LEGAL_SOURCE,1543
61,AI,TECHNOLOGY,1555
62,AI-generated depictions,TECHNOLOGY,1555
63,city,OTHER,1555
64,county,OTHER,1555
65,state officials,ACTOR,1555
66,law enforcement agencies,DOMAIN,1555
67,medical,DOMAIN,1555
68,educational,DOMAIN,1555
69,scientific,LIFECYCLE_STAGE,1555
70,AB 1831,LEGAL_SOURCE,1555
71,AI-generated content,TECHNOLOGY,1549
72,deepfakes,TECHNOLOGY,1549
73,California,OTHER,1549
74,disclosures,OTHER,1549
75,elections,ACTOR,1549
76,candidates,ACTOR,1549
77,election officials,ACTOR,1549
78,injunctive relief,OTHER,1549
79,broadcasting stations,ACTOR,1549
80,federal laws,LEGAL_SOURCE,1549
81,urgency clause,LEGAL_SOURCE,1549
82,California Legislature,ACTOR,2151
83,President Biden,ACTOR,2151
84,Blueprint for an AI Bill of Rights,LEGAL_SOURCE,2151
85,Safe and Effective Systems,RISK,2151
86,discrimination,RISK,2151
87,privacy,RISK,2151
88,Notice and Explanation,OTHER,2151
89,Human Alternatives,RISK,2151
90,Secretary of the Senate,ACTOR,2151
91,California Department of Technology,ACTOR,1551
92,high-risk automated decision systems,TECHNOLOGY,1551
93,state governments,ACTOR,1551
94,AI,TECHNOLOGY,1551
95,housing,DOMAIN,1551
96,employment,OTHER,1551
97,deepfakes,TECHNOLOGY,1551
98,economic development subsidies,REQUIREMENT,1551
99,warehouse distribution centers,DOMAIN,1551
100,job effects,OTHER,1551
101,public access,OTHER,1551
102,automation,TECHNOLOGY,1551
103,Government Code,LEGAL_SOURCE,1734
104,Section 230 of Title 47 of the U.S. Code,LEGAL_SOURCE,1734
105,Commission,ACTOR,1734
106,AI,TECHNOLOGY,1734
107,interactive service providers,ACTOR,1734
108,disclosure,OTHER,1734
109,injunctive relief,OTHER,1734
110,administrative or civil remedies,OTHER,1734
111,California Civil Code,LEGAL_SOURCE,1544
112,AI-generated digital replicas,TECHNOLOGY,1544
113,Department of State,ACTOR,1544
114,posthumous rights,LEGAL_SOURCE,1544
115,public records,LEGAL_SOURCE,1544
116,unauthorized use,REQUIREMENT,1544
117,GenAI,TECHNOLOGY,1719
118,Executive Order N-12-23,LEGAL_SOURCE,1719
119,GenAI pilot projects,REQUIREMENT,1719
120,Civil Code Section 1798.3,LEGAL_SOURCE,1719
121,personal information,RISK,1719
122,sensitive personal information,OTHER,1719
123,educational records,OTHER,1719
124,medical information,OTHER,1719
125,California's GenAI Guidelines,LEGAL_SOURCE,1719
126,de-identified data,TECHNOLOGY,1719
127,California AI Transparency Act,LEGAL_SOURCE,1558
128,GenAI,TECHNOLOGY,1558
129,AI detection tools,TECHNOLOGY,1558
130,system provenance data,OTHER,1558
131,personal provenance data,RISK,1558
132,personal information,RISK,1558
133,AI-generated content,TECHNOLOGY,1558
134,GenAI,TECHNOLOGY,1558
135,civil penalties,OTHER,1558
136,entertainment products,DOMAIN,1558
137,health care service plans,DOMAIN,1553
138,disability insurers,DOMAIN,1553
139,AI tools,TECHNOLOGY,1553
140,clinical data,OTHER,1553
141,licensed professionals,ACTOR,1553
142,state and federal laws,LEGAL_SOURCE,1553
143,audits,OTHER,1553
144,privacy laws,RISK,1553
145,AI usage policies,LEGAL_SOURCE,1553
146,commission,ACTOR,1550
147,AI literacy,DOMAIN,1550
148,"mathematics, science, and history-social science curriculum frameworks",LEGAL_SOURCE,1550
149,state board,ACTOR,1550
150,media literacy,DOMAIN,1550
151,English language arts and English language development,DOMAIN,1550
152,Communications Act of 1934,LEGAL_SOURCE,1998
153,AI,TECHNOLOGY,1998
154,FTC,ACTOR,1998
155,law enforcement agencies,DOMAIN,1998
156,restitution,OTHER,1998
157,forfeiture,OTHER,1998
158,deepfakes,TECHNOLOGY,1998
159,user-generated content,DOMAIN,1998
160,TAKE IT DOWN Act,LEGAL_SOURCE,1988
161,AI,TECHNOLOGY,1988
162,deepfakes,TECHNOLOGY,1988
163,FTC,ACTOR,1988
164,user-generated content,DOMAIN,1988
165,public websites or applications,DOMAIN,1988
166,lawful or investigative purposes,DOMAIN,1988
167,nonconsensual intimate visual depictions,RISK,1988
168,AI,TECHNOLOGY,1545
169,developer,ACTOR,1545
170,GenAI,TECHNOLOGY,1545
171,synthetic data generation,TECHNOLOGY,1545
172,training data documentation,LEGAL_SOURCE,1545
173,personal information,RISK,1545
174,intellectual property,LEGAL_SOURCE,1545
175,security,RISK,1545
176,national airspace,OTHER,1545
177,national security and defense,DOMAIN,1545
178,federal entities,ACTOR,1545
179,Public Utilities Code,LEGAL_SOURCE,1560
180,automatic dialing-announcing devices,TECHNOLOGY,1560
181,artificial voice,TECHNOLOGY,1560
182,AI,TECHNOLOGY,1560
183,organization,ACTOR,1560
184,GenAI,TECHNOLOGY,1552
185,AI,TECHNOLOGY,1552
186,licensed health care provider,DOMAIN,1552
187,National Defense Authorization Act for Fiscal Year 2020,LEGAL_SOURCE,1757
188,AI,TECHNOLOGY,1757
189,ML,TECHNOLOGY,1757
190,Chief Digital and Artificial Intelligence Officer,ACTOR,1757
191,DoD,ACTOR,1757
192,Under Secretary of Defense for Personnel and Readiness,ACTOR,1757
193,Armed Forces,DOMAIN,1757
194,National Defense Authorization Act for Fiscal Year 2025,LEGAL_SOURCE,1757
195,Department of Defense,ACTOR,1757
196,congressional defense committees,ACTOR,1757
197,Department of Defense,ACTOR,1747
198,congressional defense committees,ACTOR,1747
199,autonomous weapon systems,TECHNOLOGY,1747
200,International Emergency Economic Powers Act,LEGAL_SOURCE,2387
201,Chinese entities,ACTOR,2387
202,U.S.,OTHER,2387
203,Department of Commerce,ACTOR,2387
204,Department of the Treasury,ACTOR,2387
205,President,ACTOR,2387
206,China,OTHER,2387
207,Non-SDN Chinese Military-Industrial Complex Companies List,LEGAL_SOURCE,2387
208,national security,DOMAIN,2387
209,Assistant Secretary of Commerce,ACTOR,2297
210,Supply Chain Resilience Working Group,ACTOR,2297
211,AI,TECHNOLOGY,2297
212,Freedom of Information Act,LEGAL_SOURCE,2297
213,Congress,ACTOR,2297
214,Assistant Secretary of Commerce,ACTOR,2396
215,AI,TECHNOLOGY,2396
216,Supply Chain Resilience Working Group,ACTOR,2396
217,Freedom of Information Act,LEGAL_SOURCE,2396
218,Congress,ACTOR,2396
219,AI,TECHNOLOGY,2396
220,AI-driven advancements,TECHNOLOGY,2402
221,ML,TECHNOLOGY,2402
222,Department of Energy,ACTOR,2402
223,National Pipeline Modernization Center,ACTOR,2402
224,NIST,ACTOR,2402
225,AI-assisted pipeline technologies,TECHNOLOGY,2402
226,AI,TECHNOLOGY,2402
227,pipeline safety,RISK,2402
228,NIST,ACTOR,2401
229,NIST,ACTOR,2401
230,Department of State,ACTOR,2401
231,Congress,ACTOR,2401
232,AI standards,REQUIREMENT,2401
233,U.S. industry,ACTOR,2401
234,federal agencies,ACTOR,2401
235,LEAD for Kids Standards Board,ACTOR,2415
236,AI systems,TECHNOLOGY,2415
237,California,OTHER,2415
238,Attorney General,ACTOR,2415
239,LEAD for Kids AI Fund,DOMAIN,2415
240,AI developers,ACTOR,2415
241,AI,TECHNOLOGY,2415
242,children's health,DOMAIN,2415
243,privacy,RISK,2415
244,biometric identification,OTHER,2415
245,National Quantum Initiative Act,LEGAL_SOURCE,2420
246,Department of Energy,ACTOR,2420
247,National Quantum Information Science Research Centers,ACTOR,2420
248,AI,TECHNOLOGY,2420
249,quantum technology,TECHNOLOGY,2420
250,quantum technology,TECHNOLOGY,2420
251,communications,TECHNOLOGY,2420
252,security,RISK,2420
253,Confucius Institute,ACTOR,2420
254,federal agencies,ACTOR,2420
255,NOAA,ACTOR,2407
256,NOAA,ACTOR,2407
257,AI,TECHNOLOGY,2407
258,AI,TECHNOLOGY,2407
259,Act,LEGAL_SOURCE,2407
260,environmental forecasting,REQUIREMENT,2407
261,national security,RISK,2407
262,intellectual property,LEGAL_SOURCE,2407
263,New York,OTHER,2426
264,Responsible AI Safety and Education (RAISE) Act,LEGAL_SOURCE,2426
265,Attorney General,ACTOR,2426
266,DHS,ACTOR,2426
267,AI frontier models,TECHNOLOGY,2426
268,frontier AI models,TECHNOLOGY,2426
269,New York State,OTHER,2426
270,civil actions,REQUIREMENT,2426
271,penalties up to $30 million,OTHER,2426
272,written safety and security protocol,REQUIREMENT,2426
273,transparency,OTHER,2426
274,NIST,ACTOR,2403
275,NIST,ACTOR,2403
276,NIST,ACTOR,2403
277,AI,TECHNOLOGY,2403
278,AI workforce frameworks,REQUIREMENT,2403
279,quantum technology,TECHNOLOGY,2403
280,Congress,ACTOR,2403
281,industry,ACTOR,2403
282,education,ACTOR,2403
283,Air Force,ACTOR,2362
284,Air Force,ACTOR,2362
285,Congress,ACTOR,2362
286,Air National Guard,ACTOR,2362
287,F–16 Block 70,TECHNOLOGY,2362
288,fighter aircraft,TECHNOLOGY,2362
289,U.S. Code,LEGAL_SOURCE,2362
290,2030,REQUIREMENT,2362
291,DHS,ACTOR,2345
292,U.S. land ports of entry,OTHER,2345
293,nonintrusive inspection technology,TECHNOLOGY,2345
294,AI,TECHNOLOGY,2345
295,ML,TECHNOLOGY,2345
296,privacy,RISK,2345
297,civil liberties,RISK,2345
298,cost-effectiveness,REQUIREMENT,2345
299,data anonymization,RISK,2345
300,White House Task Force on Artificial Intelligence Education,REQUIREMENT,2417
301,OSTP,ACTOR,2417
302,OSTP,ACTOR,2417
303,Presidential Artificial Intelligence Challenge,REQUIREMENT,2417
304,Department of Education,ACTOR,2417
305,Department of Labor,ACTOR,2417
306,Workforce Innovation and Opportunity Act,LEGAL_SOURCE,2417
307,AI literacy,DOMAIN,2417
308,K-12 AI education resources,DOMAIN,2417
309,AI skill development,DOMAIN,2417
310,public-private partnerships,REQUIREMENT,2417
311,federal agencies,ACTOR,2406
312,AI,TECHNOLOGY,2406
313,AI,TECHNOLOGY,2406
314,Congress,ACTOR,2406
315,Under Secretary,ACTOR,2406
316,environmental forecasting,REQUIREMENT,2406
317,national security,RISK,2406
318,intellectual property,LEGAL_SOURCE,2406
319,fiscal years 2026 to 2030,REQUIREMENT,2406
320,FTC,ACTOR,2359
321,FTC,ACTOR,2359
322,Attorney General,ACTOR,2359
323,Sherman Act,LEGAL_SOURCE,2359
324,antitrust laws,LEGAL_SOURCE,2359
325,civil actions,REQUIREMENT,2359
326,arbitration agreements,LEGAL_SOURCE,2359
327,joint action waivers,LEGAL_SOURCE,2359
328,food producers,ACTOR,2359
329,algorithms,TECHNOLOGY,2359
330,state attorneys general,ACTOR,2359
331,National Advisory Committee on Autonomous Maritime Systems,REQUIREMENT,2419
332,Secretary,ACTOR,2419
333,NOAA,ACTOR,2419
334,Automated and Autonomous Vessel Policy Council,ACTOR,2419
335,Coast Guard,ACTOR,2419
336,AI,TECHNOLOGY,2419
337,ML,TECHNOLOGY,2419
338,U.S. territorial waters,OTHER,2419
339,counter-uncrewed system,TECHNOLOGY,2419
340,small uncrewed maritime systems,TECHNOLOGY,2419
341,uncrewed systems capabilities office,REQUIREMENT,2419
342,Department of Agriculture,ACTOR,2414
343,AI,TECHNOLOGY,2414
344,quantum sensing,TECHNOLOGY,2414
345,augmented reality,TECHNOLOGY,2414
346,wildfire prevention and mitigation,REQUIREMENT,2414
347,pilot program,REQUIREMENT,2414
348,covered agencies,ACTOR,2414
349,appropriate committees,ACTOR,2414
350,technology testing and demonstration,REQUIREMENT,2414
351,Internal Revenue Code,LEGAL_SOURCE,2349
352,AI,TECHNOLOGY,2349
353,ML,TECHNOLOGY,2349
354,robotics,TECHNOLOGY,2349
355,sensors,TECHNOLOGY,2349
356,precision agriculture,TECHNOLOGY,2349
357,controlled environment agriculture,TECHNOLOGY,2349
358,tax credit,LEGAL_SOURCE,2349
359,DHS,ACTOR,2346
360,TSA,ACTOR,2346
361,CISA,ACTOR,2346
362,DHS,ACTOR,2346
363,Congress,ACTOR,2346
364,vehicular terrorism,RISK,2346
365,connected and autonomous vehicles,TECHNOLOGY,2346
366,ADAS technologies,TECHNOLOGY,2346
367,AI-driven cybersecurity vulnerabilities,RISK,2346
368,AI-enabled predictive analytics,TECHNOLOGY,2346
